Symbol	importance
Eef1a1	Eef1a1	1.2759211560139
Clu	Clu	1.01910324415032
Tubb5	Tubb5	0.940481634739281
Set	Set	0.886678608356138
Atad2	Atad2	0.841709057095246
Sox11	Sox11	0.801261306650928
Ptma	Ptma	0.784096952575235
Ccnd2	Ccnd2	0.781804267939036
Marcks	Marcks	0.764412161719541
Hmgb2	Hmgb2	0.747143435371238
Htra1	Htra1	0.73808151903008
Mt1	Mt1	0.714802540501547
Tmsb4x	Tmsb4x	0.709083045497414
Rps26	Rps26	0.644913944619938
Dut	Dut	0.640849846758882
Rps11	Rps11	0.626232937188999
Prc1	Prc1	0.609493149667803
H2afz	H2afz	0.60254594464101
Stmn1	Stmn1	0.598385603317458
Top2a	Top2a	0.575336232774502
Rpl8	Rpl8	0.550303561827889
Ntm	Ntm	0.549930083434453
Rpl32	Rpl32	0.548147542089919
Nop58	Nop58	0.541662308347825
Rps9	Rps9	0.540939478555177
Smc2	Smc2	0.529713848654927
Malat1	Malat1	0.520548816180372
Actb	Actb	0.500557245716219
Bcan	Bcan	0.496213916831777
Uhrf1	Uhrf1	0.492518413068588
X2810417H13Rik	X2810417H13Rik	0.457776921633393
Jag1	Jag1	0.447509856616808
Rrm2	Rrm2	0.444277495881742
Rmst	Rmst	0.420503630113271
H3f3b	H3f3b	0.417341988916687
Aldoc	Aldoc	0.416960806675529
Rps24	Rps24	0.409622980295126
Mki67	Mki67	0.397469498515949
Hn1	Hn1	0.3904606603722
Hmgn1	Hmgn1	0.386522016579771
Dpysl2	Dpysl2	0.384932179443835
Gja1	Gja1	0.381056933153187
Hsp90aa1	Hsp90aa1	0.379389185332176
Cbx3	Cbx3	0.370794455531453
Ttyh1	Ttyh1	0.367232518273007
Cdca2	Cdca2	0.362213295262204
Rpl18a	Rpl18a	0.350302857631217
Kif15	Kif15	0.337241729543475
Rpl14	Rpl14	0.336979805373187
Smc4	Smc4	0.334536656018452
Rps19	Rps19	0.328243599339759
Dek	Dek	0.324742811671099
Ube2c	Ube2c	0.323721042091682
Hmgb1	Hmgb1	0.323346288027558
Glul	Glul	0.323011135189239
Egr1	Egr1	0.322337446941404
Rpl37	Rpl37	0.315660396871681
Ran	Ran	0.314563609931095
Banf1	Banf1	0.309757980792523
Zfp367	Zfp367	0.291449565861653
Rps14	Rps14	0.289316338457461
F3	F3	0.285231390400549
Ptp4a2	Ptp4a2	0.283758284618779
Rpl4	Rpl4	0.282480508668672
Npm1	Npm1	0.278930541701961
Rps21	Rps21	0.274764926998562
Cdca7	Cdca7	0.270801488614899
Cyp2d22	Cyp2d22	0.269185473309027
Eif4a1	Eif4a1	0.262236856724616
Sparcl1	Sparcl1	0.25962421552156
Hnrnpa0	Hnrnpa0	0.25792350020173
Atpif1	Atpif1	0.251986632405165
Rps25	Rps25	0.25147487874629
Tpx2	Tpx2	0.249878037663388
Hat1	Hat1	0.248084667690677
Rpl37a	Rpl37a	0.247315715424927
Calm2	Calm2	0.246855852090353
Rpl13a	Rpl13a	0.246596873819465
X2700094K13Rik	X2700094K13Rik	0.244660115276579
H2afy	H2afy	0.244588374429077
Hnrnpu	Hnrnpu	0.244158745761386
Rps5	Rps5	0.244157006995597
Cdca8	Cdca8	0.244134350413602
Eif1	Eif1	0.243093486116352
Hnrnpk	Hnrnpk	0.241423491866359
Tyms	Tyms	0.240904042610954
Shfm1	Shfm1	0.239308419607323
Birc5	Birc5	0.239070698991976
Lig1	Lig1	0.237384079728349
Mt3	Mt3	0.236197777834779
Casc5	Casc5	0.235833071125378
Ascl1	Ascl1	0.235688587053128
Rps3a1	Rps3a1	0.233542238026398
Cst3	Cst3	0.23338940267186
Rps20	Rps20	0.22866352962411
Hint1	Hint1	0.224972950964885
Fgfr3	Fgfr3	0.224283994373391
Ckap2l	Ckap2l	0.222435815926652
Mrfap1	Mrfap1	0.221613903164988
Hells	Hells	0.221407767435145
Mcm7	Mcm7	0.219544226221525
Whsc1	Whsc1	0.219535698756396
Erh	Erh	0.217984535386487
Ezh2	Ezh2	0.217447364129035
Eif4g2	Eif4g2	0.21744209615235
Sat1	Sat1	0.216047033237203
Cdk1	Cdk1	0.21600252694123
Pbk	Pbk	0.214861475938198
Prdx2	Prdx2	0.212968992168225
Tacc3	Tacc3	0.211555015339777
Mcm4	Mcm4	0.210051696531353
Tuba1b	Tuba1b	0.209451931416818
Serbp1	Serbp1	0.208114646972859
Usp22	Usp22	0.203142508163715
Ccna2	Ccna2	0.20234605578132
Srsf7	Srsf7	0.196929156486845
Hist1h4d	Hist1h4d	0.196833974084929
Ubb	Ubb	0.195945736955725
Taf9	Taf9	0.195674524072831
Rpl7	Rpl7	0.195455201493026
Cks2	Cks2	0.195322694237722
Kif22	Kif22	0.193395402865654
Rrm1	Rrm1	0.191316899355111
Hsp90ab1	Hsp90ab1	0.191288447631623
Ncl	Ncl	0.190924187543943
S1pr1	S1pr1	0.190349637815092
Myef2	Myef2	0.18955449080444
Kdelr2	Kdelr2	0.184545184065404
Rplp0	Rplp0	0.182930407212828
Cenpf	Cenpf	0.182829590596758
Ywhae	Ywhae	0.180687789524218
Mfap2	Mfap2	0.179620768035143
Cks1b	Cks1b	0.179088994811575
Nfib	Nfib	0.178833531764122
Fos	Fos	0.178707581794466
Hnrnpab	Hnrnpab	0.175862847057379
Rrn3	Rrn3	0.17487241131444
Nme1	Nme1	0.174380446444331
Rps15	Rps15	0.169982333918024
Foxm1	Foxm1	0.169766111599765
Rfc4	Rfc4	0.16662613299089
Smarcc1	Smarcc1	0.166504373192032
Dtl	Dtl	0.165768840157959
Ilf2	Ilf2	0.16439215098323
Sept10	Sept10	0.163897647724254
Fubp1	Fubp1	0.162035931999999
Grm3	Grm3	0.161753830486406
Adam23	Adam23	0.161534703292898
Lsm2	Lsm2	0.157631769342434
Slc1a2	Slc1a2	0.156161901927935
Cdk4	Cdk4	0.155693242635468
Uqcrh	Uqcrh	0.154102506634774
Ranbp1	Ranbp1	0.152027427263995
Esco2	Esco2	0.145347631874771
Cenpk	Cenpk	0.143435804382165
Tra2b	Tra2b	0.140032675051177
Cfl1	Cfl1	0.137758204217072
Rpl35	Rpl35	0.13703664714142
Rps8	Rps8	0.135365024656245
Tuba1a	Tuba1a	0.134936959919786
Cldn10	Cldn10	0.134509402327629
Gnb1	Gnb1	0.134422990444286
Acsl3	Acsl3	0.131699184284541
Ssb	Ssb	0.128443016314467
Atp5j	Atp5j	0.128305309878339
Dlx2	Dlx2	0.128192183395426
Skil	Skil	0.127882579024399
Ftl1	Ftl1	0.127593928761939
Zcchc8	Zcchc8	0.126020766285541
Tomm7	Tomm7	0.121828499984766
Gm13826	Gm13826	0.120157091728601
Tardbp	Tardbp	0.119617471916034
Rps4x	Rps4x	0.119484046661088
H3f3a	H3f3a	0.119011652032312
Rps27l	Rps27l	0.118873238965424
Gnb2l1	Gnb2l1	0.115321733920861
Dynll1	Dynll1	0.114720632415736
Tmem167	Tmem167	0.113864768777769
Smc3	Smc3	0.11255240984725
Gm1821	Gm1821	0.112071746967403
Pa2g4	Pa2g4	0.111977285865225
Marcksl1	Marcksl1	0.111322334130219
Eef2	Eef2	0.110979603460891
